iter	Passed	Remaining
797	6696	1695
798	6702	1686
799	6709	1677
800	6715	1668
801	6724	1660
802	6730	1651
803	6737	1642
804	6743	1633
805	6750	1624
806	6757	1616
807	6764	1607
808	6771	1598
809	6777	1589
810	6785	1581
811	6792	1572
812	6798	1563
813	6806	1555
814	6812	1546
815	6818	1537
816	6825	1528
817	6832	1520
818	6839	1511
819	6846	1502
820	6853	1494
821	6859	1485
822	6865	1476
823	6872	1467
824	6878	1459
825	6884	1450
826	6894	1442
827	6900	1433
828	6908	1425
829	6915	1416
830	6923	1408
831	6930	1399
832	6939	1391
833	6946	1382
834	6955	1374
835	6962	1365
836	6969	1357
837	6975	1348
838	6982	1339
839	6990	1331
840	6998	1323
841	7005	1314
842	7012	1305
843	7020	1297
844	7026	1288
845	7033	1280
846	7039	1271
847	7045	1262
848	7054	1254
849	7061	1246
850	7068	1237
851	7075	1229
852	7081	1220
853	7088	1211
854	7095	1203
855	7103	1194
856	7109	1186
857	7116	1177
858	7122	1169
859	7129	1160
860	7136	1152
861	7143	1143
862	7150	1135
863	7157	1126
864	7163	1118
865	7170	1109
866	7177	1100
867	7184	1092
868	7191	1084
869	7197	1075
870	7204	1066
871	7211	1058
872	7219	1050
873	7225	1041
874	7232	1033
875	7238	1024
876	7244	1016
877	7252	1007
878	7259	999
879	7268	991
880	7275	982
881	7283	974
882	7290	965
883	7296	957
884	7303	949
885	7310	940
886	7316	932
887	7322	923
888	7329	915
889	7336	906
890	7342	898
891	7350	889
892	7358	881
893	7366	873
894	7372	864
895	7379	856
896	7385	848
897	7395	840
898	7403	831
899	7409	823
900	7416	814
901	7422	806
902	7429	798
903	7436	789
904	7443	781
905	7450	773
906	7458	764
907	7465	756
908	7473	748
909	7483	740
910	7491	731
911	7498	723
912	7506	715
913	7515	707
914	7522	698
915	7530	690
916	7536	682
917	7544	673
918	7550	665
919	7557	657
920	7564	648
921	7572	640
922	7579	632
923	7585	623
924	7592	615
925	7601	607
926	7607	599
927	7614	590
928	7620	582
929	7628	574
930	7635	565
931	7642	557
932	7649	549
933	7655	540
934	7663	532
935	7669	524
936	7676	516
937	7682	507
938	7689	499
939	7696	491
940	7703	482
941	7711	474
942	7718	466
943	7725	458
944	7732	450
945	7738	441
946	7746	433
947	7753	425
948	7762	417
949	7769	408
950	7776	400
951	7783	392
952	7790	384
953	7796	375
954	7803	367
955	7810	359
956	7818	351
957	7825	343
958	7832	334
959	7838	326
960	7845	318
961	7851	310
962	7858	301
963	7867	293
964	7876	285
965	7884	277
966	7892	269
967	7898	261
968	7904	252
969	7912	244
970	7918	236
971	7926	228
972	7932	220
973	7942	212
974	7950	203
975	7961	195
976	7968	187
977	7974	179
978	7980	171
979	7987	163
980	7995	154
981	8001	146
982	8008	138
983	8015	130
984	8021	122
985	8030	114
986	8037	105
987	8044	97
988	8050	89
989	8058	81
990	8064	73
991	8071	65
992	8078	56
993	8084	48
994	8092	40
995	8098	32
996	8104	24
997	8111	16
998	8118	8
999	8125	0
