iter	Passed	Remaining
909	1552	153
910	1554	151
911	1558	150
912	1561	148
913	1562	147
914	1564	145
915	1566	143
916	1567	141
917	1569	140
918	1571	138
919	1573	136
920	1576	135
921	1579	133
922	1583	132
923	1585	130
924	1586	128
925	1588	126
926	1590	125
927	1592	123
928	1594	121
929	1596	120
930	1597	118
931	1599	116
932	1600	114
933	1602	113
934	1603	111
935	1605	109
936	1607	108
937	1608	106
938	1610	104
939	1612	102
940	1613	101
941	1615	99
942	1616	97
943	1618	95
944	1619	94
945	1621	92
946	1622	90
947	1624	89
948	1626	87
949	1627	85
950	1629	83
951	1630	82
952	1632	80
953	1633	78
954	1635	77
955	1637	75
956	1638	73
957	1640	71
958	1641	70
959	1643	68
960	1644	66
961	1646	65
962	1647	63
963	1649	61
964	1650	59
965	1652	58
966	1654	56
967	1655	54
968	1657	53
969	1658	51
970	1660	49
971	1661	47
972	1663	46
973	1664	44
974	1666	42
975	1668	41
976	1669	39
977	1671	37
978	1672	35
979	1674	34
980	1675	32
981	1677	30
982	1678	29
983	1680	27
984	1681	25
985	1683	23
986	1684	22
987	1686	20
988	1688	18
989	1689	17
990	1691	15
991	1692	13
992	1694	11
993	1695	10
994	1697	8
995	1698	6
996	1700	5
997	1701	3
998	1703	1
999	1704	0
